epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.364,1.55237,1.95116,1.70787,0.40246,0.37005,0.37722,0.23295,2.25044,2.53682,2.48374,3.33042e-05,3.33042e-05,0.0667291
2,935.449,1.37129,1.66076,1.55124,0.39103,0.38417,0.40694,0.2317,2.25153,2.52675,2.50079,6.59168e-05,6.59168e-05,0.0334283
3,1351.16,1.29245,1.54701,1.4884,0.39987,0.41891,0.42467,0.2132,2.36274,2.50173,2.53336,9.56927e-05,9.56927e-05,0.000124779
4,1766.92,1.24212,1.47816,1.44272,0.39427,0.43911,0.42546,0.23745,2.19957,2.53854,2.43925,9.05463e-05,9.05463e-05,9.05463e-05
5,2189.45,1.18652,1.40857,1.40368,0.47271,0.41553,0.45477,0.2825,2.09564,2.52588,2.316,8.3622e-05,8.3622e-05,8.3622e-05
6,2642.29,1.1798,1.25189,1.41375,0.44653,0.41354,0.4446,0.22762,2.40659,2.50513,2.60425,7.525e-05,7.525e-05,7.525e-05
7,3069.24,1.14,1.16711,1.37876,0.51298,0.41804,0.45522,0.23852,2.30699,2.62067,2.49583,6.57963e-05,6.57963e-05,6.57963e-05
8,3479.8,1.10742,1.1137,1.34514,0.51629,0.48285,0.47978,0.25198,2.31364,2.57059,2.56995,5.56742e-05,5.56742e-05,5.56742e-05
9,3889.05,1.07778,1.07198,1.31956,0.47012,0.46217,0.46531,0.26729,2.24551,2.60298,2.45481,4.53258e-05,4.53258e-05,4.53258e-05
10,4289.58,1.05751,1.03622,1.30032,0.50352,0.45554,0.46744,0.24022,2.31666,2.57894,2.52304,3.52037e-05,3.52037e-05,3.52037e-05
11,4718.82,1.03105,1.00486,1.28062,0.50244,0.48237,0.47639,0.25395,2.26022,2.63162,2.47397,2.575e-05,2.575e-05,2.575e-05
12,5146.53,1.01755,0.97663,1.2688,0.4763,0.4817,0.47518,0.26159,2.22149,2.61799,2.43299,1.7378e-05,1.7378e-05,1.7378e-05
13,5544.37,0.99985,0.95323,1.2562,0.48708,0.4932,0.47626,0.2579,2.27636,2.62635,2.48509,1.04537e-05,1.04537e-05,1.04537e-05
14,5949.35,0.99183,0.93801,1.25009,0.48975,0.49391,0.47498,0.27893,2.19665,2.61295,2.43242,5.2795e-06,5.2795e-06,5.2795e-06
15,6341.65,0.98283,0.93465,1.24272,0.48813,0.49314,0.47603,0.27517,2.21265,2.63772,2.45371,2.08169e-06,2.08169e-06,2.08169e-06
