epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,691.075,2.06851,10.7457,2.21145,0.28193,0.19101,0.23314,0.1194,2.4726,13.035,2.65105,0.00333188,0.00333188,0.0700131
2,1326.74,1.96122,9.97368,2.1303,0.37001,0.26943,0.34304,0.15825,2.40102,11.594,2.55188,0.0066587,0.0066587,0.0400066
3,1948.85,1.88862,9.47413,2.07581,0.37081,0.18411,0.25239,0.09639,2.54351,11.6711,2.71194,0.00995952,0.00995952,0.00997407
4,2531.91,1.83512,9.09689,2.02581,0.37386,0.2781,0.31462,0.13331,2.42225,10.5962,2.60941,0.00991232,0.00991232,0.00991232
5,3081.78,1.78575,8.81655,1.98549,0.41571,0.30444,0.34693,0.12931,2.62349,10.8863,2.74319,0.00984449,0.00984449,0.00984449
6,3716.72,1.76166,8.56927,1.95866,0.42488,0.24454,0.34406,0.12922,2.61563,10.27,2.74828,0.00975773,0.00975773,0.00975773
7,4356.86,1.73142,8.37456,1.93195,0.29953,0.30013,0.29148,0.1366,2.40523,10.7926,2.63111,0.00965239,0.00965239,0.00965239
8,4985.22,1.6998,8.12867,1.90473,0.38075,0.37793,0.39932,0.18186,2.39029,9.89556,2.56353,0.00952889,0.00952889,0.00952889
9,5548.61,1.69346,8.00569,1.89391,0.36066,0.29658,0.33348,0.1558,2.47619,10.0043,2.78949,0.00938772,0.00938772,0.00938772
10,6295.31,1.67539,7.9251,1.87884,0.43157,0.38103,0.41913,0.17194,2.4122,9.96898,2.61396,0.00922942,0.00922942,0.00922942
11,6849.91,1.64797,7.73484,1.84896,0.40439,0.26185,0.32012,0.14673,2.53678,10.9643,2.79888,0.00905463,0.00905463,0.00905463
